District,Clubs,Members,RotaryClubs,RotaryMembers,InteractClubs
52,2,24,23,469,15
56,0,0,3,45,0
59,0,0,1,8,0
61,0,0,2,27,0
62,0,0,2,140,0
63,33,198,68,"1,052",27
64,144,754,221,"4,390",121
65,141,837,130,"2,407",29
1010,1,12,81,"1,819",19
1030,2,26,46,974,9
1040,0,0,79,"1,726",10
1060,0,0,40,725,7
1070,3,60,64,"1,537",13
1080,0,0,61,"1,198",0
1090,3,7,50,"1,200",20
1100,0,0,55,"1,256",3
1110,1,5,62,"1,425",1
1120,2,8,64,"1,461",5
1130,6,81,54,"1,028",6
1145,2,5,79,"1,735",5
1150,2,19,50,959,14
1160,1,12,65,"1,371",9
1175,0,0,73,"1,441",5
1180,2,21,69,"1,164",12
1190,0,0,49,"1,002",6
1200,1,9,45,960,2
1210,1,37,48,944,5
1220,2,9,58,"1,163",5
1240,0,0,52,"1,031",6
1260,2,20,58,"1,239",9
1285,1,9,58,"1,148",4
1320,1,13,84,"1,571",6
1360,1,19,30,"1,085",0
1385,2,27,40,"1,054",1
1390,2,8,37,"1,066",0
1410,0,0,52,"1,606",0
1420,2,17,63,"2,069",1
1430,0,0,28,695,0
1440,1,13,52,"1,725",0
1450,2,32,46,"1,390",0
1461,2,21,43,"1,384",0
1462,8,108,65,"1,710",18
1470,3,70,43,"1,467",0
1480,0,0,37,"1,187",0
1510,4,41,45,"1,094",2
1520,7,82,55,"1,235",8
1550,6,44,72,"2,123",1
1560,5,56,66,"2,012",1
1570,2,29,74,"2,012",2
1580,4,50,72,"1,945",0
1590,6,43,61,"1,936",0
1600,6,60,60,"1,943",1
1610,3,41,52,"1,568",6
1640,2,20,58,"1,383",11
1650,7,44,53,"1,110",10
1660,15,241,79,"1,822",2
1670,6,65,46,"1,052",4
1680,4,37,63,"1,774",2
1690,6,100,86,"2,029",8
1700,6,97,98,"2,297",6
1710,5,57,48,"1,532",5
1720,6,64,51,"1,425",2
1730,5,63,60,"1,341",2
1740,3,25,52,"1,080",4
1750,3,28,45,"1,096",4
1760,6,84,83,"1,677",6
1770,2,17,63,"1,089",5
1780,4,40,49,"1,264",2
1790,7,77,54,"1,511",1
1800,11,149,81,"4,088",3
1810,15,222,89,"4,714",2
1820,12,179,79,"4,094",3
1830,13,202,57,"3,487",0
1841,13,177,60,"2,879",2
1842,11,219,59,"3,425",1
1850,9,110,75,"3,383",1
1860,18,305,90,"4,678",2
1870,9,163,84,"4,561",2
1880,9,158,77,"3,685",0
1890,12,193,84,"4,201",5
1900,16,265,92,"4,800",1
1910,29,431,112,"5,210",9
1911,11,134,57,"1,181",12
1912,29,312,85,"1,696",17
1913,21,186,76,"1,695",8
1920,13,257,71,"3,813",3
1930,8,131,67,"3,627",1
1940,13,169,97,"4,022",2
1950,14,164,71,"3,083",0
1960,14,117,67,"1,246",15
1970,31,252,93,"2,043",17
1980,6,128,69,"4,422",0
1990,3,67,78,"4,553",1
2000,6,152,77,"4,511",0
2031,23,352,45,"1,982",5
2032,24,378,44,"2,405",10
2041,13,349,45,"1,784",1
2042,18,253,53,"2,011",2
2050,30,353,82,"3,020",15
2060,31,457,96,"4,433",16
2071,32,432,81,"3,676",12
2072,30,470,67,"3,273",9
2080,46,657,109,"3,395",29
2090,36,405,74,"3,083",17
2101,54,860,84,"2,789",46
2102,21,312,60,"1,789",28
2110,60,848,104,"3,851",49
2120,30,368,62,"2,522",29
2130,16,433,63,"2,625",1
2140,14,210,80,"2,439",1
2150,3,35,71,"2,038",0
2160,5,74,73,"2,741",0
2201,18,153,73,"1,213",5
2202,11,74,80,"1,414",5
2203,10,122,100,"2,030",7
2223,17,75,64,641,1
2231,12,112,81,"1,602",2
2232,28,368,88,"1,585",19
2240,13,115,73,"1,237",1
2241,60,966,158,"3,960",117
2250,0,0,42,"1,409",1
2260,0,0,42,"1,339",0
2275,0,0,40,854,0
2290,0,0,39,"1,465",0
2305,0,0,47,"1,383",0
2310,1,28,40,"1,446",0
2325,0,0,24,697,0
2335,0,0,43,"1,500",0
2355,2,30,57,"2,266",0
2365,2,10,74,"2,825",2
2395,3,31,88,"3,251",0
2405,2,30,64,"2,187",4
2420,40,762,89,"2,363",57
2430,58,799,109,"2,539",44
2440,36,646,70,"1,745",39
2451,76,871,140,"2,507",57
2452,49,635,95,"1,917",32
2475,8,53,79,"1,608",1
2482,31,239,87,"1,813",48
2483,23,203,69,"1,128",2
2485,10,151,46,987,7
2490,6,23,57,"1,035",4
2500,8,79,64,"2,202",11
2510,6,39,65,"2,194",6
2520,5,66,72,"1,962",32
2530,7,51,58,"2,088",24
2540,1,6,40,"1,100",5
2550,7,84,45,"1,506",17
2560,9,60,54,"1,983",10
2570,3,40,40,"1,502",6
2580,16,158,73,"3,049",16
2590,4,53,50,"1,800",17
2600,3,57,52,"1,708",12
2610,6,49,63,"2,409",14
2620,6,53,72,"2,761",19
2630,3,35,72,"2,917",31
2640,6,25,62,"1,442",13
2650,18,145,96,"4,100",18
2660,28,285,79,"3,401",11
2670,5,54,72,"2,645",20
2680,8,31,65,"2,411",25
2690,10,301,65,"2,869",17
2700,14,173,61,"3,072",34
2710,6,50,71,"3,036",20
2720,14,150,74,"2,261",23
2730,19,72,67,"2,212",22
2740,6,39,54,"2,021",19
2750,19,282,98,"4,431",16
2760,9,98,84,"4,520",19
2770,13,275,64,"2,130",18
2780,4,54,66,"2,351",12
2790,5,51,82,"2,650",14
2800,6,25,47,"1,427",8
2820,8,48,50,"1,751",6
2830,6,17,40,"1,157",22
2840,8,57,43,"2,007",15
2981,65,294,155,"6,292",46
2982,47,750,96,"4,069",118
3000,147,"6,767",194,"7,717",478
