Country,Clubs,Members,InteractClubs
Estonia,1,14,1
Finland,5,38,1
France,97,1170,84
Monaco,1,12,0
Austria,36,645,8
Argentina,116,821,127
Bosnia and Herzegovina,6,43,4
North Macedonia,11,117,8
Slovenia,18,195,9
Australia,37,413,157
Liechtenstein,1,26,0
Switzerland,14,321,1
Italy,446,6462,268
San Marino,1,10,0
Malta,1,22,0
Belgium,37,736,2
Bangladesh,285,1591,151
Luxembourg,1,16,0
Czech Republic,7,71,0
Slovakia,6,44,1
Moldova,1,16,3
Romania,59,950,114
Bolivia,38,524,30
Azerbaijan,1,10,0
Kazakhstan,1,2,7
Brazil,569,5092,667
Turkey,132,2195,133
Bulgaria,31,239,48
Armenia,4,45,2
Bahrain,2,41,4
Cyprus,7,62,4
Jordan,2,8,0
Lebanon,26,350,13
Palestine,2,25,0
Canada,79,934,250
United Arab Emirates,6,104,8
Montenegro,2,18,0
Serbia,21,185,2
Albania,4,72,2
Kosovo,6,79,5
Guam,1,17,0
Japan,294,3031,565
Northern Mariana Islands,1,14,7
Malaysia,43,1544,222
Singapore,14,297,28
Chile,15,143,22
"China, People's Republic of",2,24,32
Colombia,57,487,56
Cambodia,3,50,2
Myanmar,10,229,6
Thailand,52,646,147
Viet Nam,3,78,1
Hong Kong,51,725,67
Macao,4,61,5
Croatia,21,186,8
Mongolia,13,261,24
Costa Rica,7,70,5
El Salvador,9,96,8
Denmark,8,136,0
Nicaragua,6,27,1
Dominican Republic,26,362,20
Ecuador,42,570,59
Egypt,76,871,56
Panama,15,126,19
England,28,297,130
Belize,7,77,4
Guatemala,19,170,18
Honduras,21,322,15
Paraguay,19,190,12
Uruguay,22,147,19
United States,511,6179,3958
Germany,183,2806,25
Ghana,68,1933,48
Greece,8,53,1
Bahamas,9,187,21
British Virgin Islands,2,32,4
Hungary,11,134,12
Iceland,1,19,0
India,2471,49369,8345
Indonesia,34,427,33
Ireland,1,12,7
Israel,6,23,4
Cayman Islands,1,13,1
Haiti,18,406,10
Jamaica,15,264,40
Turks and Caicos Islands,2,57,2
United States Virgin Islands,1,12,8
Antigua and Barbuda,1,21,5
Aruba,1,14,3
Barbados,4,92,6
"Korea, Republic of",205,3745,431
Curaçao,1,12,3
Latvia,2,30,3
Dominica,1,21,3
French Guiana,1,5,1
Grenada,2,46,5
Guadeloupe,1,17,2
Lithuania,8,108,18
Guyana,6,137,10
Martinique,1,15,4
Montserrat,1,13,1
Saint Kitts and Nevis,2,33,1
Saint Lucia,2,14,8
Saint Vincent and the Grenadines,1,51,4
Suriname,4,92,3
Trinidad and Tobago,17,265,50
Mexico,248,2264,146
Bermuda,1,14,3
Algeria,4,4,0
Morocco,97,1246,51
Nepal,189,4459,148
Netherlands,32,323,11
Tunisia,28,360,45
New Zealand,8,102,39
Burkina Faso,8,149,1
Cabo Verde,1,9,1
Nigeria,445,4833,569
Côte d'Ivoire,29,445,5
Gambia,4,64,1
Norway,1,28,1
Pakistan,63,498,314
Guinea,6,76,2
Guinea-Bissau,1,10,0
Liberia,5,61,2
Mali,20,274,5
Peru,81,842,71
Philippines,634,7951,439
Poland,12,112,2
Portugal,45,369,32
Puerto Rico,4,164,27
Senegal,7,73,1
Sierra Leone,4,107,8
Russian Federation,17,75,1
Benin,32,487,10
Niger,11,166,2
Togo,12,155,2
Burundi,7,134,1
Cameroon,4,44,0
Chad,3,76,0
Scotland,2,25,25
Congo,3,47,0
"Congo, The Democratic Republic of the",19,237,1
Equatorial Guinea,1,11,0
Gabon,8,78,1
Rwanda,13,245,7
Malawi,4,45,1
Mozambique,7,102,6
Zambia,17,262,14
Zimbabwe,22,245,101
"Tanzania, United Republic of",23,453,27
Uganda,242,5246,295
Kenya,110,2170,114
Spain,39,349,17
Sri Lanka,95,4144,157
South Sudan,1,25,4
Sweden,7,71,3
Ethiopia,27,460,40
Taiwan,157,2250,186
Comoros,2,40,1
Madagascar,11,138,3
Mauritius,23,449,38
Mayotte,1,17,1
Réunion,3,25,2
Seychelles,1,13,0
Namibia,1,15,3
South Africa,33,357,278
Ukraine,28,368,19
Lesotho,8,145,3
Botswana,1,25,7
Eswatini,3,42,4
Timor-Leste,7,218,0
Papua New Guinea,1,11,2
Solomon Islands,1,16,2
American Samoa,1,24,6
Cook Islands,1,15,0
Fiji,2,41,0
Venezuela,56,693,44
French Polynesia,1,6,0
Wales,2,19,16
Samoa,1,20,0
