Club ID,Club Name,Rotaract Club Name,Rotaract Club ID,Rotaract Club Status,Rotaract Club Base,Country/Geographic Area,Sponsor Clubs,President / Advisor Term Reported,District,Zone,RI Zone,Total Reported Members,Arrears,Officers,isArrears,outstanding,outstandingUSD,outstandingINR,isAtRisk,isNoOfficers,officerRole,officerLastReported,myRotaryAccount,trfTotal,trfAnnual,trfPolio,trfOther,trfEndowment,afPerCapita,isNewClub,charterDate,charterMembers,sponsoredInteractClubs,sponsoredInteractCount
8824847,Aarupadai Veedu Medical College & Hospital,Aarupadai Veedu Medical College & Hospital,8824847,Active,University,India,Pondicherry Beach Town (Rotary),2022 - 2023,2981,Zone 5,Zone 5,1,Yes,No,TRUE,2018,21.02,2018,FALSE,TRUE,Rotaract President,2022 - 2023,N,0,0,0,0,0,0,FALSE,,0,,0
8824656,A.D.M. College for Women,A.D.M. College for Women,8824656,Active,University,India,Nagapattinam (Rotary),2021 - 2022,2981,Zone 5,Zone 5,1,No,No,FALSE,0,0,0,FALSE,TRUE,Rotaract President,2021 - 2022,N,0,0,0,0,0,0,FALSE,,0,,0
8828530,A. G. Padmavathi College of Nursing,A. G. Padmavathi College of Nursing,8828530,Active,University,India,Puducherry City (Rotary),2026 - 2027,2981,Zone 5,Zone 5,20,No,Yes,FALSE,0,0,0,FALSE,FALSE,N/A,N/A,N/A,0,0,0,0,0,0,FALSE,,0,,0
8824022,Arvindar Arts and Science College,Arvindar Arts and Science College,8824022,Active,University,India,Pondicherry Agaram (Rotary),2021 - 2022,2981,Zone 5,Zone 5,1,Yes,No,TRUE,531,5.53,531,FALSE,TRUE,Rotaract President,2021 - 2022,N,0,0,0,0,0,0,FALSE,,0,,0
91146,A.V.C. Polytechnic College,A.V.C. Polytechnic College,91146,Active,University,India,Mayiladuthurai Kings (Rotary),2019 - 2020,2981,Zone 5,Zone 5,3,Yes,No,TRUE,6053,63.05,6053,FALSE,TRUE,Rotaract President,2019 - 2020,N,0,0,0,0,0,0,FALSE,,0,,0
217173,Avvaiyar Govt. College for Women,Avvaiyar Govt. College for Women,217173,Active,University,India,Karaikal (Rotary),2019 - 2020,2981,Zone 5,Zone 5,1,Yes,No,TRUE,2018,21.02,2018,FALSE,TRUE,Rotaract President,2019 - 2020,N,0,0,0,0,0,0,FALSE,,0,,0
8828003,A.V.V.M. Sri Pushpam College,A.V.V.M. Sri Pushpam College,8828003,Active,University,India,Thanjavur Mid-Town (Rotary),2026 - 2027,2981,Zone 5,Zone 5,19,No,Yes,FALSE,0,0,0,FALSE,FALSE,N/A,N/A,N/A,0,0,0,0,0,0,FALSE,,0,,0
8824269,Best Arts and Science College,Best Arts and Science College,8824269,Active,University,India,Sirkali (Rotary),2021 - 2022,2981,Zone 5,Zone 5,1,No,No,FALSE,0,0,0,FALSE,TRUE,Rotaract President,2021 - 2022,N,0,0,0,0,0,0,FALSE,,0,,0
8824648,Bharath College of Science & Management,Bharath College of Science & Management,8824648,Active,University,India,Thanjavur Granary (Rotary),2021 - 2022,2981,Zone 5,Zone 5,1,Yes,No,TRUE,2018,21.02,2018,FALSE,TRUE,Rotaract President,2021 - 2022,N,0,0,0,0,0,0,FALSE,,0,,0
8823534,"Bharathidasan Government College for Women, Puducherry","Bharathidasan Government College for Women, Puducherry",8823534,Active,University,India,Pondicherry Eves (Rotary),2020 - 2021,2981,Zone 5,Zone 5,1,Yes,No,TRUE,531,5.53,531,FALSE,TRUE,Rotaract President,2020 - 2021,N,0,0,0,0,0,0,FALSE,,0,,0
