Business Unit,NF Cust Number,Club Name,Club Type,Club Base,Collector,District,Zone / Section,Billable Member Count,Country,No. Items, USD Outstanding ,Current Zone,Officer,Verify,Outstanding INR,outstanding,outstandingINR,outstandingUSD,isAtRisk,RI Zone,Sponsor Clubs,sponsorClubs
RTY IND BU,8826662,God City Kumbakonam,ROTARACT CLUB,Community,Ruma Mondal,2981,5,21,India,1,191.04,5,No,Yes,18340,18340,18340,191.04,TRUE,Zone 5,,
RTY IND BU,8827767,Cuddalore Waves,ROTARACT CLUB,Community,Ruma Mondal,2981,5,17,India,1,150.45,5,Yes,Yes,14443,14443,14443,150.45,TRUE,Zone 5,Cuddalore Central (Rotary); Cuddalore Coastal City (Rotary),Cuddalore Central (Rotary); Cuddalore Coastal City (Rotary)
RTY IND BU,8827706,Indira Gandhi Medical College & Research Institute,ROTARACT CLUB,University,Ruma Mondal,2981,5,24,India,1,132.75,5,Yes,Yes,12744,12744,12744,132.75,TRUE,Zone 5,Pondicherry Beach Town (Rotary),Pondicherry Beach Town (Rotary)
RTY IND BU,91146,A.V.C. Polytechnic College,ROTARACT CLUB,University,Ruma Mondal,2981,5,3,India,4,63.05,5,No,Yes,6053,6053,6053,63.05,FALSE,Zone 5,Mayiladuthurai Kings (Rotary),Mayiladuthurai Kings (Rotary)
RTY IND BU,8824298,Physiotherapy SBV University,ROTARACT CLUB,University,Ruma Mondal,2981,5,2,India,4,42.03,5,No,Yes,4035,4035,4035,42.03,FALSE,Zone 5,Pondicherry Heritage (Rotary),Pondicherry Heritage (Rotary)
RTY IND BU,213168,M.R.G. Arts College Mannargudi,ROTARACT CLUB,University,Ruma Mondal,2981,5,2,India,4,42.03,5,No,Yes,4035,4035,4035,42.03,FALSE,Zone 5,Mannargudi Mid Town (Rotary),Mannargudi Mid Town (Rotary)
RTY IND BU,8824169,Pondicherry Cosmos,ROTARACT CLUB,Community,Ruma Mondal,2981,5,1,India,4,33.63,5,No,Yes,3228,3228,3228,33.63,FALSE,Zone 5,Pondicherry-Cosmos (Rotary),Pondicherry-Cosmos (Rotary)
RTY IND BU,218694,Meyyathur,ROTARACT CLUB,Community,Ruma Mondal,2981,5,1,India,4,33.63,5,No,Yes,3228,3228,3228,33.63,FALSE,Zone 5,Chidambaram Central (Rotary),Chidambaram Central (Rotary)
RTY IND BU,218701,Bhuvanagiri Ragavendhra,ROTARACT CLUB,Community,Ruma Mondal,2981,5,1,India,4,33.63,5,No,Yes,3228,3228,3228,33.63,FALSE,Zone 5,,
RTY IND BU,8823979,Pondicherry Beachtown,ROTARACT CLUB,Community,Ruma Mondal,2981,5,1,India,4,33.63,5,No,Yes,3228,3228,3228,33.63,FALSE,Zone 5,Pondicherry Beach Town (Rotary),Pondicherry Beach Town (Rotary)
RTY IND BU,218166,Venkateswara Educational Institutions,ROTARACT CLUB,Community,Ruma Mondal,2981,5,1,India,4,33.63,5,No,Yes,3228,3228,3228,33.63,FALSE,Zone 5,Kumbakonam (Rotary),Kumbakonam (Rotary)
RTY IND BU,8824168,Pattukkottai,ROTARACT CLUB,Community,Ruma Mondal,2981,5,1,India,3,25.47,5,No,Yes,2445,2445,2445,25.47,FALSE,Zone 5,Pattukkottai (Rotary),Pattukkottai (Rotary)
RTY IND BU,8825011,Vadalur Poosalikuppam,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Vadalur (Rotary),Vadalur (Rotary)
RTY IND BU,8823823,"Bon Secours Arts & Science College For Women, Mannargudi",ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Mannargudi Mid Town (Rotary),Mannargudi Mid Town (Rotary)
RTY IND BU,217698,PERUNTHALAIVAR KAMARAJAR COLLEGE OF EDUCATION,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Karaikal Centennial (Rotary),Karaikal Centennial (Rotary)
RTY IND BU,217505,Engineering and Technology Annamalai Nagar,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Chidambaram (Rotary),Chidambaram (Rotary)
RTY IND BU,217173,Avvaiyar Govt. College for Women,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Karaikal (Rotary),Karaikal (Rotary)
RTY IND BU,8824874,Bon Secours-Literati,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Thanjavur Granary (Rotary),Thanjavur Granary (Rotary)
RTY IND BU,8824847,Aarupadai Veedu Medical College & Hospital,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Pondicherry Beach Town (Rotary),Pondicherry Beach Town (Rotary)
RTY IND BU,8825000,National Institute of Technology Puducherry,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Karaikal (Rotary),Karaikal (Rotary)
RTY IND BU,8824648,Bharath College of Science & Management,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Thanjavur Granary (Rotary),Thanjavur Granary (Rotary)
RTY IND BU,8824780,Indirani College Of Nursing,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Nagapattinam Holytown (Rotary),Nagapattinam Holytown (Rotary)
RTY IND BU,8824468,Marutu Pandiyar College,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Thanjavur Kings (Rotary),Thanjavur Kings (Rotary)
RTY IND BU,8824471,Sri Venkateshwaraa Medical College Hospital & Research Centre,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Pondicherry Eves (Rotary),Pondicherry Eves (Rotary)
RTY IND BU,8824582,Sri Raghavendra School of Nursing,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Nagapattinam Holytown (Rotary),Nagapattinam Holytown (Rotary)
RTY IND BU,8824787,Prime College of Architecture and Planning,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Pondicherry Agaram (Rotary),Pondicherry Agaram (Rotary)
RTY IND BU,8824590,B.P.J College of Arts & Science,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Srimushnam (Rotary),Srimushnam (Rotary)
RTY IND BU,8824653,Kurinjipadi,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Vadalur Central (Rotary),Vadalur Central (Rotary)
RTY IND BU,8823721,Sri Venkateshwara College of Engineering & Technology,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Pondicherry Beach Town (Rotary),Pondicherry Beach Town (Rotary)
RTY IND BU,217623,PRPOLY,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Kumbakonam Midtown (Rotary),Kumbakonam Midtown (Rotary)
RTY IND BU,218035,CSM College of Arts & Science,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Vridhachalam (Rotary),Vridhachalam (Rotary)
RTY IND BU,217872,"Dr. Kalam Polytechnic College, Avanam",ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Pattukkottai (Rotary),Pattukkottai (Rotary)
RTY IND BU,217629,PRIST,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Kumbakonam Midtown (Rotary),Kumbakonam Midtown (Rotary)
RTY IND BU,217307,Thanjavur AVASC,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Thanjavur Cosmos (Rotary),Thanjavur Cosmos (Rotary)
RTY IND BU,217466,STET Women's College,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Mannargudi (Rotary),Mannargudi (Rotary)
RTY IND BU,217306,SJCET Thanjavur,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Thanjavur Cosmos (Rotary),Thanjavur Cosmos (Rotary)
RTY IND BU,8825010,M R K Arts and Science College,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Katturmannarkoil Galaxy (Rotary),Katturmannarkoil Galaxy (Rotary)
RTY IND BU,8824167,Konagarnadu Sakthi,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,2,10.82,5,No,Yes,1039,1039,1039,10.82,FALSE,Zone 5,Kumbakonam Sakthi (Rotary),Kumbakonam Sakthi (Rotary)
RTY IND BU,8823811,Idhaya College of Arts & Science for Women,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,2,10.82,5,No,Yes,1039,1039,1039,10.82,FALSE,Zone 5,Pondicherry Eves (Rotary),Pondicherry Eves (Rotary)
RTY IND BU,8825038,Dhamapuram Adhinam Arts College,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,1,5.53,5,No,Yes,531,531,531,5.53,FALSE,Zone 5,Mayiladuthurai (Rotary),Mayiladuthurai (Rotary)
RTY IND BU,8823990,Pondicherry River,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,1,5.53,5,No,Yes,531,531,531,5.53,FALSE,Zone 5,Pondicherry (Rotary),Pondicherry (Rotary)
RTY IND BU,8824121,Saradha Gangadharan College,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,1,5.53,5,No,Yes,531,531,531,5.53,FALSE,Zone 5,Pondicherry Auro City (Rotary),Pondicherry Auro City (Rotary)
RTY IND BU,8823534,"Bharathidasan Government College for Women, Puducherry",ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,1,5.53,5,No,Yes,531,531,531,5.53,FALSE,Zone 5,Pondicherry Eves (Rotary),Pondicherry Eves (Rotary)
RTY IND BU,8824022,Arvindar Arts and Science College,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,1,5.53,5,No,Yes,531,531,531,5.53,FALSE,Zone 5,Pondicherry Agaram (Rotary),Pondicherry Agaram (Rotary)
RTY IND BU,8824108,Mother Teresa Nursing College,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,1,5.53,5,No,Yes,531,531,531,5.53,FALSE,Zone 5,Pondicherry Auro City (Rotary),Pondicherry Auro City (Rotary)
RTY IND BU,8824119,Pondicherry Engineering College,ROTARACT CLUB,University,Ruma Mondal,2981,5,1,India,1,5.53,5,No,Yes,531,531,531,5.53,FALSE,Zone 5,Pondicherry Auro City (Rotary),Pondicherry Auro City (Rotary)
RTY IND BU,8825242,Phoenix Vizhigal,ROTARACT CLUB,Community,Ruma Mondal,2982,5,24,India,1,212.4,5,No,Yes,20390,20390,20390,212.4,TRUE,Zone 5,Salem Phoenix (Rotary),Salem Phoenix (Rotary)
RTY IND BU,8827068,Salem Central,ROTARACT CLUB,Community,Ruma Mondal,2982,5,18,India,1,178.57,5,Yes,Yes,17143,17143,17143,178.57,TRUE,Zone 5,Salem Central (Rotary),Salem Central (Rotary)
RTY IND BU,8826466,Hosur Midtown Youngsters,ROTARACT CLUB,Community,Ruma Mondal,2982,5,15,India,1,150.54,5,Yes,Yes,14452,14452,14452,150.54,TRUE,Zone 5,Hosur Midtown (Rotary),Hosur Midtown (Rotary)
RTY IND BU,8827246,NKR Government Arts College for Women,ROTARACT CLUB,University,Ruma Mondal,2982,5,21,India,1,116.16,5,Yes,Yes,11151,11151,11151,116.16,TRUE,Zone 5,Namakkal Poultry Town (Rotary),Namakkal Poultry Town (Rotary)
RTY IND BU,8827241,Sri Vijay Vidyalaya College of Nursing,ROTARACT CLUB,University,Ruma Mondal,2982,5,20,India,1,110.63,5,No,Yes,10620,10620,10620,110.63,TRUE,Zone 5,Dharmapuri Elite (Rotary),Dharmapuri Elite (Rotary)
RTY IND BU,8827242,Angels College of Education,ROTARACT CLUB,University,Ruma Mondal,2982,5,20,India,1,110.63,5,Yes,Yes,10620,10620,10620,110.63,TRUE,Zone 5,Namakkal Poultry Town (Rotary),Namakkal Poultry Town (Rotary)
RTY IND BU,8827493,Mettur Grand,ROTARACT CLUB,Community,Ruma Mondal,2982,5,12,India,1,106.2,5,Yes,Yes,10195,10195,10195,106.2,TRUE,Zone 5,Mettur Grand (Rotary),Mettur Grand (Rotary)
RTY IND BU,8826589,Namakkal,ROTARACT CLUB,Community,Ruma Mondal,2982,5,12,India,1,106.2,5,No,Yes,10195,10195,10195,106.2,TRUE,Zone 5,Namakkal Evergreen City (Rotary),Namakkal Evergreen City (Rotary)
RTY IND BU,8827624,Kailash Women's College,ROTARACT CLUB,University,Ruma Mondal,2982,5,16,India,1,88.5,5,Yes,Yes,8496,8496,8496,88.5,TRUE,Zone 5,Jalakandapuram (Rotary),Jalakandapuram (Rotary)
RTY IND BU,8827700,The Kavery Engineering College,ROTARACT CLUB,University,Ruma Mondal,2982,5,15,India,1,82.97,5,Yes,Yes,7965,7965,7965,82.97,TRUE,Zone 5,Jalakandapuram (Rotary),Jalakandapuram (Rotary)
RTY IND BU,8825576,Vinayaka Missions College of Pharmacy,ROTARACT CLUB,University,Ruma Mondal,2982,5,14,India,1,77.44,5,No,Yes,7434,7434,7434,77.44,TRUE,Zone 5,Salem South (Rotary),Salem South (Rotary)
RTY IND BU,8826186,K. S. Rangasamy Institute of Technology,ROTARACT CLUB,University,Ruma Mondal,2982,5,12,India,2,76.06,5,No,Yes,7302,7302,7302,76.06,TRUE,Zone 5,Tiruchengodu Hi-Tech (Rotary),Tiruchengodu Hi-Tech (Rotary)
RTY IND BU,8826180,K. S. R. College of Nursing and Allied Health Science,ROTARACT CLUB,University,Ruma Mondal,2982,5,12,India,2,76.06,5,No,Yes,7302,7302,7302,76.06,TRUE,Zone 5,Tiruchengodu Hi-Tech (Rotary),Tiruchengodu Hi-Tech (Rotary)
RTY IND BU,8826204,K. S. R. Institute for Engineering and Technology,ROTARACT CLUB,University,Ruma Mondal,2982,5,13,India,1,71.91,5,No,Yes,6903,6903,6903,71.91,FALSE,Zone 5,Komarapalayam (Rotary),Komarapalayam (Rotary)
RTY IND BU,8827570,The Kaavery Paramedical Institutions,ROTARACT CLUB,University,Ruma Mondal,2982,5,12,India,1,66.38,5,Yes,Yes,6372,6372,6372,66.38,FALSE,Zone 5,Mettur Dam City (Rotary),Mettur Dam City (Rotary)
RTY IND BU,8827859,Shri Sowdesvari Women’s College Salem,ROTARACT CLUB,University,Ruma Mondal,2982,5,12,India,1,66.38,5,Yes,Yes,6372,6372,6372,66.38,FALSE,Zone 5,Salem Gymkhana (Rotary),Salem Gymkhana (Rotary)
RTY IND BU,8826649,Salem Polytechnic College,ROTARACT CLUB,University,Ruma Mondal,2982,5,12,India,1,66.38,5,No,Yes,6372,6372,6372,66.38,FALSE,Zone 5,Salem Mid-Town (Rotary),Salem Mid-Town (Rotary)
RTY IND BU,8826179,K. S. R. College of Arts and Science for Women,ROTARACT CLUB,University,Ruma Mondal,2982,5,12,India,1,66.38,5,No,Yes,6372,6372,6372,66.38,FALSE,Zone 5,Komarapalayam (Rotary),Komarapalayam (Rotary)
RTY IND BU,8826185,K. S. Rangasamy College of Arts and Science,ROTARACT CLUB,University,Ruma Mondal,2982,5,12,India,1,66.38,5,No,Yes,6372,6372,6372,66.38,FALSE,Zone 5,Tiruchengodu Hi-Tech (Rotary),Tiruchengodu Hi-Tech (Rotary)
RTY IND BU,8826181,K. S. R. Institute of Dental Science and Research,ROTARACT CLUB,University,Ruma Mondal,2982,5,12,India,1,66.38,5,No,Yes,6372,6372,6372,66.38,FALSE,Zone 5,Tiruchengodu Hi-Tech (Rotary),Tiruchengodu Hi-Tech (Rotary)
RTY IND BU,8826184,K. S. R. College of Engineering,ROTARACT CLUB,University,Ruma Mondal,2982,5,12,India,1,66.38,5,No,Yes,6372,6372,6372,66.38,FALSE,Zone 5,Komarapalayam (Rotary),Komarapalayam (Rotary)
RTY IND BU,215368,Dhirajlal Gandhi College of Technology,ROTARACT CLUB,University,Ruma Mondal,2982,5,3,India,4,63.05,5,No,Yes,6053,6053,6053,63.05,FALSE,Zone 5,Salem Smart City (Rotary),Salem Smart City (Rotary)
RTY IND BU,217328,Sri Ayyappa Polytechnic,ROTARACT CLUB,University,Ruma Mondal,2982,5,1,India,4,21.02,5,No,Yes,2018,2018,2018,21.02,FALSE,Zone 5,Ulundurpet (Rotary),Ulundurpet (Rotary)
RTY IND BU,8827688,Vikas College of Arts & Science,ROTARACT CLUB,University,Ruma Mondal,3000,5,556,India,1,3075.38,5,Yes,Yes,295236,295236,295236,3075.38,TRUE,Zone 5,Tiruchirappalli Success (Rotary),Tiruchirappalli Success (Rotary)
RTY IND BU,8825175,Agri-Horti Trichy,ROTARACT CLUB,University,Ruma Mondal,3000,5,118,India,1,652.69,5,No,Yes,62658,62658,62658,652.69,TRUE,Zone 5,Tiruchirappalli Success (Rotary),Tiruchirappalli Success (Rotary)
RTY IND BU,214848,Boiler City Trichy,ROTARACT CLUB,Community,Ruma Mondal,3000,5,18,India,1,208.22,5,No,Yes,19989,19989,19989,208.22,TRUE,Zone 5,Bhel City Tiruchirapalli (Rotary),Bhel City Tiruchirapalli (Rotary)
RTY IND BU,8827924,GTN Medical College of Naturopathy and Yogic Science Research Centre,ROTARACT CLUB,University,Ruma Mondal,3000,5,34,India,1,188.06,5,Yes,Yes,18054,18054,18054,188.06,TRUE,Zone 5,Dindigul Mid-Town (Rotary),Dindigul Mid-Town (Rotary)
RTY IND BU,8826231,Care College of Engineering,ROTARACT CLUB,University,Ruma Mondal,3000,5,29,India,2,183.79,5,No,Yes,17644,17644,17644,183.79,TRUE,Zone 5,Tiruchirapalli Greater (Rotary),Tiruchirapalli Greater (Rotary)
RTY IND BU,8826092,Servite Arts and Science College for Women,ROTARACT CLUB,University,Ruma Mondal,3000,5,30,India,1,165.94,5,No,Yes,15930,15930,15930,165.94,TRUE,Zone 5,Vaiyampatti (Rotary),Vaiyampatti (Rotary)
RTY IND BU,8827902,KDM NATRIVA,ROTARACT CLUB,University,Ruma Mondal,3000,5,29,India,1,160.41,5,No,Yes,15399,15399,15399,160.41,TRUE,Zone 5,Pudukkottai Crown City (Rotary),Pudukkottai Crown City (Rotary)
RTY IND BU,8827404,Vidiyal Aranthangi,ROTARACT CLUB,Community,Ruma Mondal,3000,5,17,India,1,150.45,5,Yes,Yes,14443,14443,14443,150.45,TRUE,Zone 5,,
RTY IND BU,8827929,NPR College of Engineering and Technology,ROTARACT CLUB,University,Ruma Mondal,3000,5,25,India,1,138.28,5,Yes,Yes,13275,13275,13275,138.28,TRUE,Zone 5,Dindigul Mid-Town (Rotary),Dindigul Mid-Town (Rotary)
RTY IND BU,8826257,Seethalakshmi Ramasamy College,ROTARACT CLUB,University,Ruma Mondal,3000,5,24,India,1,132.75,5,No,Yes,12744,12744,12744,132.75,TRUE,Zone 5,Trichy Gems Innovators (Rotary),Trichy Gems Innovators (Rotary)
RTY IND BU,8824426,"Velammal College Of Engineering & Technology, Madurai",ROTARACT CLUB,University,Ruma Mondal,3000,5,24,India,1,132.75,5,No,Yes,12744,12744,12744,132.75,TRUE,Zone 5,Madurai Metro Heritage (Rotary),Madurai Metro Heritage (Rotary)
RTY IND BU,8826902,Pudukkottai Yugan,ROTARACT CLUB,Community,Ruma Mondal,3000,5,14,India,1,124.64,5,No,Yes,11965,11965,11965,124.64,TRUE,Zone 5,,
RTY IND BU,8827922,NPR Arts and Science College,ROTARACT CLUB,University,Ruma Mondal,3000,5,21,India,1,116.16,5,Yes,Yes,11151,11151,11151,116.16,TRUE,Zone 5,Dindigul Mid-Town (Rotary),Dindigul Mid-Town (Rotary)
RTY IND BU,8826721,Perambalur,ROTARACT CLUB,Community,Ruma Mondal,3000,5,13,India,1,115.05,5,No,Yes,11045,11045,11045,115.05,TRUE,Zone 5,Perambalur (Rotary),Perambalur (Rotary)
RTY IND BU,8827894,KDM Agri Crown,ROTARACT CLUB,University,Ruma Mondal,3000,5,20,India,1,110.63,5,No,Yes,10620,10620,10620,110.63,TRUE,Zone 5,Pudukkottai Crown City (Rotary),Pudukkottai Crown City (Rotary)
RTY IND BU,8827835,SLS MAVMM Ayira Vaisyar College,ROTARACT CLUB,University,Ruma Mondal,3000,5,20,India,1,110.63,5,Yes,Yes,10620,10620,10620,110.63,TRUE,Zone 5,Madurai Down Town (Rotary),Madurai Down Town (Rotary)
RTY IND BU,8825998,M.A.M. Business School,ROTARACT CLUB,University,Ruma Mondal,3000,5,20,India,1,110.63,5,No,Yes,10620,10620,10620,110.63,TRUE,Zone 5,Tiruchirapalli Phoenix (Rotary),Tiruchirapalli Phoenix (Rotary)
RTY IND BU,8825306,Sri Bharathi Arts & Science College for Women,ROTARACT CLUB,University,Ruma Mondal,3000,5,10,India,2,108.16,5,No,Yes,10383,10383,10383,108.16,TRUE,Zone 5,Pudukkottai Crown City (Rotary),Pudukkottai Crown City (Rotary)
RTY IND BU,8827563,Madurai Kalasam,ROTARACT CLUB,Community,Ruma Mondal,3000,5,12,India,1,106.2,5,Yes,Yes,10195,10195,10195,106.2,TRUE,Zone 5,,
RTY IND BU,8825432,Srinivasan College of Arts and Science,ROTARACT CLUB,Community,Ruma Mondal,3000,5,12,India,1,106.2,5,No,Yes,10195,10195,10195,106.2,TRUE,Zone 5,Perambalur (Rotary),Perambalur (Rotary)
RTY IND BU,8827361,SSM College of Arts and Science,ROTARACT CLUB,University,Ruma Mondal,3000,5,19,India,1,105.09,5,Yes,Yes,10089,10089,10089,105.09,TRUE,Zone 5,Dindigul (Rotary),Dindigul (Rotary)
RTY IND BU,90543,Dindigul Rock Fort,ROTARACT CLUB,Community,Ruma Mondal,3000,5,11,India,1,100.31,5,Yes,Yes,9630,9630,9630,100.31,TRUE,Zone 5,Dindigul Queencity (Rotary),Dindigul Queencity (Rotary)
