District,Rotaract Club Name,Club ID,Club Status,Rotaract Role,Last Reported,Name,Address,Phone,Email,Online Account With My Rotary,Zone,Club Base,RI Zone
2981,Aarupadai Veedu Medical College & Hospital,8824847,Active,Rotaract President,2022 - 2023,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,A.D.M. College for Women,8824656,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Arvindar Arts and Science College,8824022,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,A.V.C. Polytechnic College,91146,Active,Rotaract President,2019 - 2020,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Avvaiyar Govt. College for Women,217173,Active,Rotaract President,2019 - 2020,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Best Arts and Science College,8824269,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Bharath College of Science & Management,8824648,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,"Bharathidasan Government College for Women, Puducherry",8823534,Active,Rotaract President,2020 - 2021,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Bhuvanagiri Ragavendhra,218701,Active,Rotaract President,2020 - 2021,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,Community,Zone 5
2981,"Bon Secours Arts & Science College For Women, Mannargudi",8823823,Active,Rotaract President,2020 - 2021,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Bon Secours-Literati,8824874,Active,Rotaract President,2022 - 2023,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,B.P.J College of Arts & Science,8824590,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,CSM College of Arts & Science,218035,Active,Rotaract President,2019 - 2020,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Dhamapuram Adhinam Arts College,8825038,Active,Rotaract President,2022 - 2023,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,"Dr. Kalam Polytechnic College, Avanam",217872,Active,Rotaract President,2019 - 2020,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Engineering and Technology Annamalai Nagar,217505,Active,Rotaract President,2019 - 2020,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,God City Kumbakonam,8826662,Active,Rotaract President,2025 - 2026,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,Community,Zone 5
2981,Idhaya College of Arts & Science for Women,8823811,Active,Rotaract President,2020 - 2021,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Indirani College Of Nursing,8824780,Active,Rotaract President,2022 - 2023,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Konagarnadu Sakthi,8824167,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Kurinjipadi,8824653,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Marutu Pandiyar College,8824468,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Meyyathur,218694,Active,Rotaract President,2020 - 2021,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,Community,Zone 5
2981,Mother Teresa Nursing College,8824108,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,M.R.G. Arts College Mannargudi,213168,Active,Rotaract President,2019 - 2020,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,M R K Arts and Science College,8825010,Active,Rotaract President,2022 - 2023,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,National Institute of Technology Puducherry,8825000,Active,Rotaract President,2022 - 2023,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Pattukkottai,8824168,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,Community,Zone 5
2981,PERUNTHALAIVAR KAMARAJAR COLLEGE OF EDUCATION,217698,Active,Rotaract President,2019 - 2020,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Physiotherapy SBV University,8824298,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Pondicherry Beachtown,8823979,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,Community,Zone 5
2981,Pondicherry Cosmos,8824169,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,Community,Zone 5
2981,Pondicherry Engineering College,8824119,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Pondicherry River,8823990,Active,Rotaract President,2021 - 2022,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
2981,Prime College of Architecture and Planning,8824787,Active,Rotaract President,2022 - 2023,Information Not Reported,Information Not Reported,Information Not Reported,Information Not Reported,N,5,University,Zone 5
