RI Zone,District,Club Name,Club Status,Current Member Count,Club ID,Total Rotaract Sponsored,Total Interact Sponsored
Zone 5,2981,Aduthurai,Active,41,26974,0,0
Zone 5,2981,Ayakkaranpulam,Active,21,224858,0,0
Zone 5,2981,Ayyampettai Delta,Active,51,222431,0,0
Zone 5,2981,Chidambaram Temple Town,Active,31,82647,0,0
Zone 5,2981,Chola Tiruvarur,Active,42,82661,0,0
Zone 5,2981,Cuddalore,Active,56,15846,1,0
Zone 5,2981,Cuddalore Central,Active,15,53872,1,0
Zone 5,2981,Cuddalore Coastal City,Active,84,85842,1,0
Zone 5,2981,Cuddalore Mid-Town,Active,60,31123,0,0
Zone 5,2981,Cuddalore Sangamam,Active,36,58449,0,0
Zone 5,2981,Delta Pattukkottai,Active,52,228176,0,0
Zone 5,2981,Idumbavanam,Active,16,227960,0,0
Zone 5,2981,Karaikal,Active,60,15855,2,0
Zone 5,2981,Karaikal Centennial,Active,30,65094,1,0
Zone 5,2981,Karaikal French City,Active,42,82693,0,0
Zone 5,2981,Kariyapattinam,Active,12,227420,0,0
Zone 5,2981,Kattumannarkoil,Active,32,67020,0,0
Zone 5,2981,Katturmannarkoil Galaxy,Active,26,86391,1,0
Zone 5,2981,Kilvelur,Active,21,222559,0,0
Zone 5,2981,Kollidam,Active,49,82699,0,0
Zone 5,2981,Koothapakkam,Active,26,83088,0,0
Zone 5,2981,Kottai Pattukkottai,Active,93,58338,0,0
Zone 5,2981,Kottur,Active,13,227288,0,0
Zone 5,2981,Kumbakonam Central,Active,88,51497,0,0
Zone 5,2981,Kumbakonam East,Active,73,31185,0,0
Zone 5,2981,Kumbakonam Grand,Active,46,85651,0,0
Zone 5,2981,Kumbakonam Green City,Active,51,85720,0,0
Zone 5,2981,Kumbakonam Heritage City,Active,51,85610,0,0
Zone 5,2981,Kumbakonam Holy Town,Active,71,76535,0,0
Zone 5,2981,Kumbakonam Kings,Active,23,89392,0,0
Zone 5,2981,Kumbakonam Maanagar,Active,41,224422,0,0
Zone 5,2981,Kumbakonam Midtown,Active,67,15858,2,0
Zone 5,2981,Kumbakonam Queens,Active,11,86520,0,0
Zone 5,2981,Kumbakonam Temple City,Active,64,22852,0,0
Zone 5,2981,Kumbakonam Tradition Land,Active,21,223365,0,0
Zone 5,2981,Kumbakonam Universe,Active,18,227998,0,0
Zone 5,2981,Kumbakonam Wisdom,Active,16,227123,0,0
Zone 5,2981,Kuttalam,Active,56,78635,0,0
Zone 5,2981,Madukkur,Active,26,83354,0,0
Zone 5,2981,Mannai Green City,Active,21,86008,0,0
Zone 5,2981,Mannargudi,Active,91,22652,1,0
Zone 5,2981,Mannargudi Pride,Active,15,228020,0,0
Zone 5,2981,Manora Pattukkottai,Active,64,31480,0,0
Zone 5,2981,Marudur,Active,43,84887,0,0
Zone 5,2981,Mayiladuthurai,Active,60,86109,1,0
Zone 5,2981,Mayiladuthurai Delta,Active,49,87718,0,0
Zone 5,2981,Mayiladuthurai Kings,Active,76,82694,1,0
Zone 5,2981,Mayiladuthurai Mid-Town,Active,40,30758,0,0
Zone 5,2981,Mayiladuthurai Pride,Active,40,90610,0,0
Zone 5,2981,Mayiladuthurai Sakthi,Active,29,226777,0,0
Zone 5,2981,Mayuram Delta,Active,19,223228,0,0
Zone 5,2981,Muthupet Lagoon,Active,29,227564,0,0
Zone 5,2981,Muthupettai,Active,70,52274,0,0
Zone 5,2981,Nagapattinam,Active,103,15872,2,0
Zone 5,2981,Nagapattinam Holytown,Active,80,53968,2,0
Zone 5,2981,Nagapattinam Mid Town,Active,27,82837,0,0
Zone 5,2981,Nagapattinam Queens,Active,20,228221,0,0
Zone 5,2981,Nagapattinam Sanghamam,Active,24,222276,0,0
Zone 5,2981,Nagapattinam Waves,Active,22,225546,0,0
Zone 5,2981,Nagapattinam Wings,Active,43,88451,0,0
Zone 5,2981,Nagore,Active,34,78754,0,0
Zone 5,2981,Nannilam,Active,20,86331,0,0
Zone 5,2981,Natchiarkoil Lamp City,Active,27,82878,0,0
Zone 5,2981,Neyveli,Active,25,23514,0,0
Zone 5,2981,Neyveli Arch Gate,Active,31,91001,0,0
Zone 5,2981,Neyveli Power City,Active,54,58341,0,0
Zone 5,2981,Panruti,Active,115,31414,0,0
Zone 5,2981,Papanasam River City,Active,11,83319,0,0
Zone 5,2981,Pattukkottai Kings,Active,59,91202,0,0
Zone 5,2981,Pattukottai Mid Town,Active,34,82863,0,0
Zone 5,2981,Pennadam,Active,39,15879,0,0
Zone 5,2981,Peravurani,Active,27,83208,0,0
Zone 5,2981,Pondicherry,Active,36,15880,1,0
Zone 5,2981,Pondicherry Agni Siragugal,Active,29,227672,0,0
Zone 5,2981,Pondicherry Arikamedu Port,Active,16,226650,0,0
Zone 5,2981,Pondicherry Beach Town,Active,33,57405,5,0
Zone 5,2981,Pondicherry Central,Active,76,26623,1,0
