RI Zone,District,Club Name,Club Status,Current Member Count,Club ID
Zone 5,2981,Aduthurai,Active,41,26974
Zone 5,2981,Ayakkaranpulam,Active,21,224858
Zone 5,2981,Ayyampettai Delta,Active,51,222431
Zone 5,2981,Chidambaram Mid-Town,Active,58,50381
Zone 5,2981,Chidambaram Temple Town,Active,31,82647
Zone 5,2981,Chola Tiruvarur,Active,42,82661
Zone 5,2981,Cuddalore Mid-Town,Active,60,31123
Zone 5,2981,Cuddalore Sangamam,Active,36,58449
Zone 5,2981,Delta Pattukkottai,Active,52,228176
Zone 5,2981,E-Club of Thanjavur Divas,Active,58,86714
Zone 5,2981,Idumbavanam,Active,16,227960
Zone 5,2981,Karaikal French City,Active,42,82693
Zone 5,2981,Kariyapattinam,Active,12,227420
Zone 5,2981,Kattumannarkoil,Active,32,67020
Zone 5,2981,Kilvelur,Active,21,222559
Zone 5,2981,Kollidam,Active,49,82699
Zone 5,2981,Koothapakkam,Active,26,83088
Zone 5,2981,Kottai Pattukkottai,Active,93,58338
Zone 5,2981,Kottur,Active,13,227288
Zone 5,2981,Kumbakonam Central,Active,88,51497
Zone 5,2981,Kumbakonam East,Active,73,31185
Zone 5,2981,Kumbakonam Grand,Active,46,85651
Zone 5,2981,Kumbakonam Green City,Active,51,85720
Zone 5,2981,Kumbakonam Heritage City,Active,51,85610
Zone 5,2981,Kumbakonam Holy Town,Active,71,76535
Zone 5,2981,Kumbakonam Kings,Active,23,89392
Zone 5,2981,Kumbakonam Maanagar,Active,41,224422
Zone 5,2981,Kumbakonam Mahamaham,Active,58,28707
Zone 5,2981,Kumbakonam Queens,Active,11,86520
Zone 5,2981,Kumbakonam Temple City,Active,64,22852
Zone 5,2981,Kumbakonam Tradition Land,Active,21,223365
Zone 5,2981,Kumbakonam Universe,Active,18,227998
Zone 5,2981,Kumbakonam Wisdom,Active,16,227123
Zone 5,2981,Kuttalam,Active,56,78635
Zone 5,2981,Madukkur,Active,26,83354
Zone 5,2981,Mannai Green City,Active,21,86008
Zone 5,2981,Mannargudi Pride,Active,15,228020
Zone 5,2981,Manora Pattukkottai,Active,64,31480
Zone 5,2981,Marudur,Active,43,84887
Zone 5,2981,Mayiladuthurai Delta,Active,49,87718
Zone 5,2981,Mayiladuthurai Mid-Town,Active,40,30758
Zone 5,2981,Mayiladuthurai Pride,Active,40,90610
Zone 5,2981,Mayiladuthurai Sakthi,Active,29,226777
Zone 5,2981,Mayuram,Active,84,15867
Zone 5,2981,Mayuram Delta,Active,19,223228
Zone 5,2981,Muthupet Lagoon,Active,29,227564
Zone 5,2981,Muthupettai,Active,70,52274
Zone 5,2981,Nagapattinam Mid Town,Active,27,82837
Zone 5,2981,Nagapattinam Queens,Active,20,228221
Zone 5,2981,Nagapattinam Sanghamam,Active,24,222276
Zone 5,2981,Nagapattinam Waves,Active,22,225546
Zone 5,2981,Nagapattinam Wings,Active,43,88451
Zone 5,2981,Nagore,Active,34,78754
Zone 5,2981,Nannilam,Active,20,86331
Zone 5,2981,Natchiarkoil Lamp City,Active,27,82878
Zone 5,2981,Neyveli,Active,25,23514
Zone 5,2981,Neyveli Arch Gate,Active,31,91001
Zone 5,2981,Neyveli Green City,Active,30,222021
Zone 5,2981,Neyveli Lignite City,Active,56,55739
Zone 5,2981,Neyveli Power City,Active,54,58341
Zone 5,2981,Panruti,Active,115,31414
Zone 5,2981,Papanasam,Active,80,31413
Zone 5,2981,Papanasam River City,Active,11,83319
Zone 5,2981,Pattukkottai Kings,Active,59,91202
Zone 5,2981,Pattukottai Mid Town,Active,34,82863
Zone 5,2981,Pennadam,Active,39,15879
Zone 5,2981,Peravurani,Active,27,83208
Zone 5,2981,Pondicherry Agni Siragugal,Active,29,227672
Zone 5,2981,Pondicherry Arikamedu Port,Active,16,226650
Zone 5,2981,Pondicherry Champions,Active,24,228181
Zone 5,2981,Pondicherry Elites,Active,32,83779
Zone 5,2981,Pondicherry French City,Active,18,64814
Zone 5,2981,Pondicherry Friends City,Active,38,225274
Zone 5,2981,Pondicherry Galaxy,Active,30,88469
Zone 5,2981,Pondicherry Glowing Stars,Active,100,227553
Zone 5,2981,Pondicherry Grande,Active,25,83947
Zone 5,2981,Pondicherry Legacy,Active,23,224440
Zone 5,2981,Pondicherry Marina,Active,27,91218
Zone 5,2981,Pondicherry Mid-Town,Active,52,22670
Zone 5,2981,Pondicherry Nebula,Active,15,227719
Zone 5,2981,Pondicherry Nexus,Active,23,226727
Zone 5,2981,Pondicherry Phoenix,Active,38,225743
Zone 5,2981,Pondicherry Port,Active,41,31589
Zone 5,2981,Pondicherry Pothigai,Active,21,228213
Zone 5,2981,Pondicherry Pride,Active,80,223432
Zone 5,2981,Pondicherry Regal,Active,15,227122
Zone 5,2981,Pondicherry White Town,Active,35,87691
Zone 5,2981,Puducherry Vision,Active,35,226792
Zone 5,2981,Royal Pattukkottai,Active,42,226340
Zone 5,2981,Sirkali Temple Town,Active,55,83199
Zone 5,2981,Tankcity Tiruvarur,Active,25,65756
Zone 5,2981,Thanjavur,Active,73,15890
Zone 5,2981,Thanjavur Big Temple,Active,52,83401
Zone 5,2981,Thanjavur Cauvery,Active,71,52268
Zone 5,2981,Thanjavur Cholas,Active,26,87418
Zone 5,2981,Thanjavur Delta,Active,45,70635
Zone 5,2981,Thanjavur East,Active,21,222297
Zone 5,2981,Thanjavur Emperors,Active,34,87965
Zone 5,2981,Thanjavur Galaxy,Active,29,223453
Zone 5,2981,Thanjavur Kundhavai,Active,19,224186
Zone 5,2981,Thanjavur Majestic City,Active,35,227138
Zone 5,2981,Thanjavur Newtown,Active,25,30693
Zone 5,2981,Thanjavur Warriors,Active,47,227180
Zone 5,2981,Thirumullaivasal,Active,20,86514
Zone 5,2981,Thiruvarur Mid Town,Active,4,89623
Zone 5,2981,Thiruvonam,Active,20,228204
Zone 5,2981,Tiruthuraipoondi Delta,Active,53,83301
Zone 5,2981,Tiruturaipoondi,Active,61,22737
Zone 5,2981,Tiruvarur,Active,100,15895
Zone 5,2981,Tittagudi,Active,31,226438
Zone 5,2981,Ullikkottai,Active,15,227823
Zone 5,2981,Vadakuthu,Active,18,82669
Zone 5,2981,Vailankanni,Active,78,78717
Zone 5,2981,Valangaiman,Active,26,67017
Zone 5,2981,Vedaraniam,Active,45,28304
Zone 5,2981,Veeranam Lake City,Active,28,222261
Zone 5,2981,Velankanni Green City,Active,75,226965
Zone 5,2981,Veppur,Active,38,89389
Zone 5,2981,Vijayapuram,Active,39,223393
Zone 5,2981,Virudhachalam Elite,Active,30,87693
Zone 5,2982,Attur,Active,75,31334
Zone 5,2982,Attur Central,Active,17,225895
Zone 5,2982,Attur Midtown,Active,47,86959
Zone 5,2982,Chinna Salem,Active,83,51056
Zone 5,2982,Dharmapuri,Active,64,15847
Zone 5,2982,Dharmapuri Mid Town,Active,56,57244
Zone 5,2982,Dharmapuri Phoenix,Active,31,227924
Zone 5,2982,Elampillai,Active,45,224714
Zone 5,2982,Gingee Fort,Active,39,52229
Zone 5,2982,Harur,Active,24,225921
Zone 5,2982,Hosur Angels,Active,38,90842
Zone 5,2982,Hosur Elite,Active,16,222809
Zone 5,2982,Hosur Grand,Active,16,81156
Zone 5,2982,Hosur Icons,Active,18,225623
Zone 5,2982,Hosur Lake View,Active,17,83284
Zone 5,2982,Hosur Rose City,Active,24,83278
Zone 5,2982,Hosur Royals,Active,16,226202
Zone 5,2982,Kaveripatnam,Active,28,83660
Zone 5,2982,Krishnagiri,Active,42,23416
Zone 5,2982,Maa-Nagar Krishnagiri,Active,39,80154
Zone 5,2982,Mohanur,Active,44,83285
Zone 5,2982,Namakkal Educational City,Active,33,83386
Zone 5,2982,Namakkal Elite,Active,31,82879
Zone 5,2982,Namakkal Heritage,Active,51,90910
Zone 5,2982,Namakkal Kings,Active,47,227262
Zone 5,2982,Namakkal (Salem),Active,93,15873
Zone 5,2982,Namakkal Transport City,Active,77,82836
Zone 5,2982,Omalur,Active,24,57867
Zone 5,2982,Rasipuram Educational City,Active,15,83321
Zone 5,2982,Rasipuram Royal,Active,56,89524
Zone 5,2982,Salem Cosmos,Active,29,50763
Zone 5,2982,Salem Divine Hearts,Active,10,227328
Zone 5,2982,Salem East,Active,28,31340
Zone 5,2982,Salem Elite,Active,57,86597
Zone 5,2982,Salem Evergreen,Active,39,88871
Zone 5,2982,Salem Fort,Active,42,82679
Zone 5,2982,Salem Harmony,Active,32,227590
Zone 5,2982,Salem Hillcity,Active,41,88115
Zone 5,2982,Salem Majestic,Active,37,89917
Zone 5,2982,Salem Miracle,Active,14,226203
Zone 5,2982,Salem North,Active,38,15886
Zone 5,2982,Salem Power Grand,Active,11,88177
Zone 5,2982,Salem Royal Crown,Active,7,227955
Zone 5,2982,Salem Rupavati,Active,25,90915
Zone 5,2982,Salem Steel City,Active,11,227589
Zone 5,2982,Salem Success,Active,18,226403
Zone 5,2982,Salem Sunrise,Active,17,226405
Zone 5,2982,Salem Sunstar,Active,23,73402
Zone 5,2982,Salem Texcity,Active,56,63034
Zone 5,2982,Salem West,Active,19,15887
Zone 5,2982,Salem Wonderful,Active,28,227061
Zone 5,2982,Sankagiri,Active,34,64355
Zone 5,2982,Sankarapuram,Active,77,29651
Zone 5,2982,Sankari West,Active,22,83803
Zone 5,2982,Shoolagiri,Active,14,226164
Zone 5,2982,Thalaivasal,Active,56,86962
Zone 5,2982,Thiyagadurgam,Active,31,224937
Zone 5,2982,Tindivanam Elite,Active,18,227121
