District,Club No,Name,AF Per Capita,"Annual Fund
YTD","PolioPlus Fund
YTD","Other Funds
YTD","Endowment Fund
YTD",-- Total --,RI Zone,Club No.,Club Name,Total Contributions USD,Annual Fund Contribution USD,PolioPlus Fund Contribution USD,Other Funds Contribution USD,Endowment Fund Contribution USD,Sponsor Clubs,sponsorClubs
3011,213097,"Young Visionaries, DL, India - Rotaract Club",0,35,0,0,0,35,Zone 4,213097,Young Visionaries,35,35,0,0,0,Delhi Rendezvous (Rotary),Delhi Rendezvous (Rotary)
3030,8827678,"Nashik Synergy, MH, India - Rotaract Club",0,0,1.09,0,0,1.09,Zone 6,8827678,Nashik Synergy,1.09,0,1.09,0,0,Nasik Youth Force (Rotaract),Nasik Youth Force (Rotaract)
3030,218605,"Nasik Youth Force, MH, India - Rotaract Club",0,0,10.43,0,0,10.43,Zone 6,218605,Nasik Youth Force,10.43,0,10.43,0,0,Nasik-Ambad (Rotary),Nasik-Ambad (Rotary)
3060,215922,"Bardoli, GJ, India - Rotaract Club",0,107.67,0,0,0,107.67,Zone 4,215922,Bardoli,107.67,107.67,0,0,0,Bardoli (Rotary),Bardoli (Rotary)
3060,5993,"Bharuch, GJ, India - Rotaract Club",0,2.38,0,0,0,2.38,Zone 4,5993,Bharuch,2.38,2.38,0,0,0,Bharuch (Rotary),Bharuch (Rotary)
3060,214370,"Harijyot, GJ, India - Rotaract Club",0,24,0,0,0,24,Zone 4,214370,Harijyot,24,24,0,0,0,Navsari (Rotary),Navsari (Rotary)
3080,43141,"Chandigarh Shivalik, CH, India - Rotaract Club",0,52.08,0,0,0,52.08,Zone 4,43141,Chandigarh Shivalik,52.08,52.08,0,0,0,Chandigarh Shivalik (Rotary),Chandigarh Shivalik (Rotary)
3120,8826600,"Prayagraj Sangam City, UP, India - Rotaract Club",0,1000,0,0,0,1000,Zone 6,8826600,Prayagraj Sangam City,1000,1000,0,0,0,Prayagraj Sangam (Rotary),Prayagraj Sangam (Rotary)
3132,51381,"Aurangabad Airport, MH, India - Rotaract Club",0,216.51,0,0,0,216.51,Zone 7,51381,Aurangabad Airport,216.51,216.51,0,0,0,Aurangabad Central (Rotary),Aurangabad Central (Rotary)
3132,8826993,"Barshi, MH, India - Rotaract Club",0,301.05,0,0,0,301.05,Zone 7,8826993,Barshi,301.05,301.05,0,0,0,Barsi (Rotary),Barsi (Rotary)
3132,7335,"Jalna, MH, India - Rotaract Club",0,1273.09,0,0,0,1273.09,Zone 7,7335,Jalna,1273.09,1273.09,0,0,0,Jalna (Rotary),Jalna (Rotary)
3132,8823911,"Karad City, MH, India - Rotaract Club",0,100,0,0,0,100,Zone 7,8823911,Karad City,100,100,0,0,0,Karad (Rotary),Karad (Rotary)
3132,7317,"Latur Mid-Town, MH, India - Rotaract Club",0,100,0,0,0,100,Zone 7,7317,Latur Mid-Town,100,100,0,0,0,Latur Mid-town (Rotary),Latur Mid-town (Rotary)
3132,8827478,"Malkapur, MH, India - Rotaract Club",0,100,0,0,0,100,Zone 7,8827478,Malkapur,100,100,0,0,0,Malkapur (Karad) (Rotary),Malkapur (Karad) (Rotary)
3132,218591,"Samarthya Solapur, MH, India - Rotaract Club",0,100,0,0,0,100,Zone 7,218591,Samarthya Solapur,100,100,0,0,0,Solapur North (Rotary),Solapur North (Rotary)
3132,7251,"Satara Camp, MH, India - Rotaract Club",0,100,0,0,0,100,Zone 7,7251,"Satara Camp, MH, India - Rotaract Club",100,100,0,0,0,,
3132,8827693,"Smart Orchid College, MH, India - Rotaract Club",0,100,0,0,0,100,Zone 7,8827693,Smart Orchid College,100,100,0,0,0,Solapur Smart City (Rotary),Solapur Smart City (Rotary)
3132,8826998,"Tembhurni, MH, India - Rotaract Club",0,100.11,0,0,0,100.11,Zone 7,8826998,Tembhurni,100.11,100.11,0,0,0,Tembhurni (Rotary),Tembhurni (Rotary)
3170,7849,"Panjim, GA, India - Rotaract Club",0,16.34,0,0,0,16.34,Zone 7,7849,Panjim,16.34,16.34,0,0,0,Panaji (Rotary),Panaji (Rotary)
3181,8823284,"JSS Law College Mysore North, KA, India - Rotaract Club",0,0,90.95,0,0,90.95,Zone 7,8823284,JSS Law College Mysore North,90.95,0,90.95,0,0,Mysore North (Rotary),Mysore North (Rotary)
3191,8167,"Bangalore Vijayanagar, KA, India - Rotaract Club",0,21.06,0,0,0,21.06,Zone 7,8167,Bangalore Vijayanagar,21.06,21.06,0,0,0,Bangalore Vijayanagar (Rotary),Bangalore Vijayanagar (Rotary)
3192,90196,"Bangalore North West, KA, India - Rotaract Club",0,10.53,0,0,0,10.53,Zone 7,90196,Bangalore North West,10.53,10.53,0,0,0,Bangalore North West (Rotary),Bangalore North West (Rotary)
